InvestorId;InvestmentId;InvestmentType;ISIN;City;FondsInvestor
Investor87;Investment37602;Fonds;;;Fonds15
Investor88;Investment41170;Fonds;;;Fonds3
Investor89;Investment49406;Fonds;;;Fonds14
Investor90;Investment45652;Fonds;;;Fonds0
Investor91;Investment43610;Fonds;;;Fonds3
Investor92;Investment48848;Fonds;;;Fonds13
Investor93;Investment43128;Fonds;;;Fonds18
Investor94;Investment47832;Fonds;;;Fonds10
Investor95;Investment49027;Fonds;;;Fonds11
Investor96;Investment33726;Fonds;;;Fonds7
Investor97;Investment34481;Fonds;;;Fonds7
Investor98;Investment32209;Fonds;;;Fonds6
Investor99;Investment43254;Fonds;;;Fonds5
Investor27;Investment40335;Fonds;;;Fonds10
Investor69;Investment33241;Fonds;;;Fonds8
Investor36;Investment45922;Fonds;;;Fonds10
Investor40;Investment39748;Fonds;;;Fonds13
Investor58;Investment47782;Fonds;;;Fonds0
Investor65;Investment46798;Fonds;;;Fonds10
Investor35;Investment45151;Fonds;;;Fonds17
Investor23;Investment32569;Fonds;;;Fonds14
Investor39;Investment37508;Fonds;;;Fonds10
Investor39;Investment48811;Fonds;;;Fonds15
Investor26;Investment41791;Fonds;;;Fonds12
Investor49;Investment41083;Fonds;;;Fonds9
Investor55;Investment49846;Fonds;;;Fonds0
Investor94;Investment49660;Fonds;;;Fonds16
Investor48;Investment36772;Fonds;;;Fonds1
Investor82;Investment35645;Fonds;;;Fonds6
Investor47;Investment30858;Fonds;;;Fonds3
Investor48;Investment44217;Fonds;;;Fonds13
Investor50;Investment31411;Fonds;;;Fonds18
Investor82;Investment34177;Fonds;;;Fonds17
Investor27;Investment46431;Fonds;;;Fonds0
Investor82;Investment32096;Fonds;;;Fonds6
Investor98;Investment40503;Fonds;;;Fonds16
Investor63;Investment32470;Fonds;;;Fonds6
Investor96;Investment44811;Fonds;;;Fonds3
Investor10;Investment47450;Fonds;;;Fonds10
Investor92;Investment40436;Fonds;;;Fonds0
Investor11;Investment36769;Fonds;;;Fonds9
Investor97;Investment38253;Fonds;;;Fonds14
Investor3;Investment46939;Fonds;;;Fonds0
Investor26;Investment32959;Fonds;;;Fonds15
Investor22;Investment33947;Fonds;;;Fonds0
Investor54;Investment34286;Fonds;;;Fonds12
Investor18;Investment35598;Fonds;;;Fonds17
Investor98;Investment31400;Fonds;;;Fonds5
Investor53;Investment44725;Fonds;;;Fonds5
Investor32;Investment35876;Fonds;;;Fonds18
Investor95;Investment31652;Fonds;;;Fonds18
Investor81;Investment49416;Fonds;;;Fonds5
Investor66;Investment45835;Fonds;;;Fonds5
Investor82;Investment45701;Fonds;;;Fonds11
Investor81;Investment45542;Fonds;;;Fonds9
Investor4;Investment40975;Fonds;;;Fonds14
Investor63;Investment42102;Fonds;;;Fonds3
Investor43;Investment31986;Fonds;;;Fonds2
Investor33;Investment30589;Fonds;;;Fonds11
Investor49;Investment32929;Fonds;;;Fonds18
Investor19;Investment36664;Fonds;;;Fonds4
Investor12;Investment35282;Fonds;;;Fonds10
Investor84;Investment48949;Fonds;;;Fonds17
Investor11;Investment42476;Fonds;;;Fonds9
Investor64;Investment47627;Fonds;;;Fonds10
Investor71;Investment42941;Fonds;;;Fonds14
Investor46;Investment32930;Fonds;;;Fonds2
Investor9;Investment44350;Fonds;;;Fonds12
Investor44;Investment41132;Fonds;;;Fonds5
Investor70;Investment41071;Fonds;;;Fonds8
Investor72;Investment37589;Fonds;;;Fonds15
Investor43;Investment34185;Fonds;;;Fonds10
Investor47;Investment37975;Fonds;;;Fonds8
Investor71;Investment48073;Fonds;;;Fonds7
Investor24;Investment45066;Fonds;;;Fonds17
Investor24;Investment42538;Fonds;;;Fonds14
Investor35;Investment30845;Fonds;;;Fonds13
Investor12;Investment31164;Fonds;;;Fonds5
Investor4;Investment32677;Fonds;;;Fonds15
Investor93;Investment47873;Fonds;;;Fonds11
Investor36;Investment34346;Fonds;;;Fonds5
Investor94;Investment48822;Fonds;;;Fonds18
Investor94;Investment34418;Fonds;;;Fonds12
Investor49;Investment47882;Fonds;;;Fonds12
Investor50;Investment44260;Fonds;;;Fonds4
Investor65;Investment30203;Fonds;;;Fonds4
Investor82;Investment34580;Fonds;;;Fonds2
Investor98;Investment49580;Fonds;;;Fonds5
Investor45;Investment35446;Fonds;;;Fonds7
Investor77;Investment33150;Fonds;;;Fonds12
Investor34;Investment40671;Fonds;;;Fonds6
Investor20;Investment40800;Fonds;;;Fonds16
Investor63;Investment36908;Fonds;;;Fonds2
Investor59;Investment38576;Fonds;;;Fonds14
Investor73;Investment39104;Fonds;;;Fonds14
Investor98;Investment41239;Fonds;;;Fonds5
Investor13;Investment39182;Fonds;;;Fonds0
Investor91;Investment41771;Fonds;;;Fonds1
Investor61;Investment31571;Fonds;;;Fonds9
Investor49;Investment45114;Fonds;;;Fonds8
Investor8;Investment43630;Fonds;;;Fonds9
Investor9;Investment48660;Fonds;;;Fonds6
Investor54;Investment44714;Fonds;;;Fonds0
Investor81;Investment30663;Fonds;;;Fonds6
Investor59;Investment42289;Fonds;;;Fonds10
Investor52;Investment42084;Fonds;;;Fonds10
Investor34;Investment48886;Fonds;;;Fonds10
Investor94;Investment38821;Fonds;;;Fonds10
Investor58;Investment36850;Fonds;;;Fonds0
Investor56;Investment41552;Fonds;;;Fonds4
Investor68;Investment36553;Fonds;;;Fonds4
Investor50;Investment49073;Fonds;;;Fonds7
Investor38;Investment34398;Fonds;;;Fonds8
Investor38;Investment41439;Fonds;;;Fonds9
Investor12;Investment30297;Fonds;;;Fonds13
Investor23;Investment35839;Fonds;;;Fonds3
Investor17;Investment31341;Fonds;;;Fonds17
Investor34;Investment37097;Fonds;;;Fonds1
Investor60;Investment37697;Fonds;;;Fonds14
Investor97;Investment44159;Fonds;;;Fonds18
Investor87;Investment32247;Fonds;;;Fonds12
Investor46;Investment35608;Fonds;;;Fonds9
Investor62;Investment47545;Fonds;;;Fonds9
Investor65;Investment34630;Fonds;;;Fonds18
Investor35;Investment33887;Fonds;;;Fonds7
Investor51;Investment46579;Fonds;;;Fonds7
Investor78;Investment43758;Fonds;;;Fonds10
Investor87;Investment36983;Fonds;;;Fonds0
Investor96;Investment46540;Fonds;;;Fonds16
Investor25;Investment46278;Fonds;;;Fonds7
Investor11;Investment45533;Fonds;;;Fonds3
Investor42;Investment35669;Fonds;;;Fonds17
Investor50;Investment48347;Fonds;;;Fonds15
Investor53;Investment37098;Fonds;;;Fonds14
Investor84;Investment33851;Fonds;;;Fonds18
Investor27;Investment45557;Fonds;;;Fonds13
Investor39;Investment39982;Fonds;;;Fonds2
Investor12;Investment49103;Fonds;;;Fonds11
Investor88;Investment46489;Fonds;;;Fonds6
Investor96;Investment43132;Fonds;;;Fonds2
Investor31;Investment34781;Fonds;;;Fonds15
Investor87;Investment38306;Fonds;;;Fonds0
Investor40;Investment34377;Fonds;;;Fonds16
Investor87;Investment34070;Fonds;;;Fonds6
Investor8;Investment47708;Fonds;;;Fonds10
Investor82;Investment31687;Fonds;;;Fonds17
Investor81;Investment40326;Fonds;;;Fonds14
Investor24;Investment47764;Fonds;;;Fonds13
Investor46;Investment30070;Fonds;;;Fonds12
Investor49;Investment48318;Fonds;;;Fonds4
Investor81;Investment40020;Fonds;;;Fonds5
Investor77;Investment48053;Fonds;;;Fonds7
Investor31;Investment46813;Fonds;;;Fonds11
Investor62;Investment46342;Fonds;;;Fonds18
Investor61;Investment40674;Fonds;;;Fonds1
Investor61;Investment31072;Fonds;;;Fonds18
Investor45;Investment44075;Fonds;;;Fonds9
Investor87;Investment48759;Fonds;;;Fonds8
Investor46;Investment40487;Fonds;;;Fonds10
Investor8;Investment33034;Fonds;;;Fonds1
Investor72;Investment35273;Fonds;;;Fonds5
Investor46;Investment40124;Fonds;;;Fonds6
Investor96;Investment36011;Fonds;;;Fonds3
Investor32;Investment49550;Fonds;;;Fonds14
Investor45;Investment38802;Fonds;;;Fonds6
Investor25;Investment42451;Fonds;;;Fonds7
Investor0;Investment48878;Fonds;;;Fonds12
Investor83;Investment49098;Fonds;;;Fonds6
Investor52;Investment39785;Fonds;;;Fonds8
Investor84;Investment35319;Fonds;;;Fonds13
Investor83;Investment31930;Fonds;;;Fonds2
Investor4;Investment35149;Fonds;;;Fonds18
Investor44;Investment42701;Fonds;;;Fonds2
Investor62;Investment31407;Fonds;;;Fonds15
Investor66;Investment46791;Fonds;;;Fonds18
Investor0;Investment49260;Fonds;;;Fonds18
Investor6;Investment34606;Fonds;;;Fonds12
Investor74;Investment44394;Fonds;;;Fonds9
Investor57;Investment31994;Fonds;;;Fonds6
Investor51;Investment49056;Fonds;;;Fonds16
Investor69;Investment32273;Fonds;;;Fonds12
Investor53;Investment37915;Fonds;;;Fonds18
Investor40;Investment40658;Fonds;;;Fonds3
Investor47;Investment39873;Fonds;;;Fonds15
Investor43;Investment31577;Fonds;;;Fonds12
Investor32;Investment46239;Fonds;;;Fonds10
Investor11;Investment37880;Fonds;;;Fonds7
Investor86;Investment49347;Fonds;;;Fonds4
Investor91;Investment41532;Fonds;;;Fonds13
Investor23;Investment34568;Fonds;;;Fonds8
Investor81;Investment31957;Fonds;;;Fonds6
Investor51;Investment30384;Fonds;;;Fonds5
Investor64;Investment49522;Fonds;;;Fonds17
Investor80;Investment41865;Fonds;;;Fonds5
Investor23;Investment33366;Fonds;;;Fonds17
Investor84;Investment35283;Fonds;;;Fonds9
Investor89;Investment33448;Fonds;;;Fonds7
Investor7;Investment48026;Fonds;;;Fonds3
Investor42;Investment46849;Fonds;;;Fonds1
Investor81;Investment45257;Fonds;;;Fonds11
Investor82;Investment39644;Fonds;;;Fonds7
Investor96;Investment49036;Fonds;;;Fonds9
Investor70;Investment45381;Fonds;;;Fonds16
Investor61;Investment49668;Fonds;;;Fonds14
Investor65;Investment42655;Fonds;;;Fonds0
Investor76;Investment48707;Fonds;;;Fonds5
Investor32;Investment41952;Fonds;;;Fonds8
Investor67;Investment45828;Fonds;;;Fonds14
Investor94;Investment45782;Fonds;;;Fonds11
Investor60;Investment32435;Fonds;;;Fonds10
Investor54;Investment48475;Fonds;;;Fonds6
Investor69;Investment42878;Fonds;;;Fonds15
Investor30;Investment41109;Fonds;;;Fonds13
Investor93;Investment43645;Fonds;;;Fonds3
Investor37;Investment30186;Fonds;;;Fonds6
Investor19;Investment38527;Fonds;;;Fonds3
Investor5;Investment38304;Fonds;;;Fonds1
Investor49;Investment41804;Fonds;;;Fonds3
Investor88;Investment40431;Fonds;;;Fonds9
Investor12;Investment33822;Fonds;;;Fonds3
Investor14;Investment31051;Fonds;;;Fonds8
Investor12;Investment37418;Fonds;;;Fonds6
Investor91;Investment46341;Fonds;;;Fonds7
Investor29;Investment30646;Fonds;;;Fonds1
Investor2;Investment41679;Fonds;;;Fonds17
Investor31;Investment33849;Fonds;;;Fonds3
Investor38;Investment43392;Fonds;;;Fonds7
Investor62;Investment37744;Fonds;;;Fonds7
Investor38;Investment33996;Fonds;;;Fonds7
Investor81;Investment34535;Fonds;;;Fonds8
Investor9;Investment32761;Fonds;;;Fonds8
Investor98;Investment47659;Fonds;;;Fonds13
Investor31;Investment36345;Fonds;;;Fonds7
Investor74;Investment31494;Fonds;;;Fonds16
Investor68;Investment44535;Fonds;;;Fonds4
Investor72;Investment36511;Fonds;;;Fonds14
Investor81;Investment48117;Fonds;;;Fonds17
Investor77;Investment35777;Fonds;;;Fonds18
Investor80;Investment36155;Fonds;;;Fonds10
Investor65;Investment48071;Fonds;;;Fonds8
Investor98;Investment30597;Fonds;;;Fonds0
Investor42;Investment39269;Fonds;;;Fonds1
Investor91;Investment38546;Fonds;;;Fonds3
Investor31;Investment32303;Fonds;;;Fonds7
Investor67;Investment49649;Fonds;;;Fonds5
Investor11;Investment39638;Fonds;;;Fonds15
Investor20;Investment33236;Fonds;;;Fonds17
Investor70;Investment31606;Fonds;;;Fonds6
Investor43;Investment42150;Fonds;;;Fonds6
Investor4;Investment33235;Fonds;;;Fonds7
Investor78;Investment47258;Fonds;;;Fonds10
Investor40;Investment31772;Fonds;;;Fonds15
Investor17;Investment41846;Fonds;;;Fonds9
Investor29;Investment46721;Fonds;;;Fonds9
Investor67;Investment46772;Fonds;;;Fonds9
Investor69;Investment49889;Fonds;;;Fonds16
Investor5;Investment38906;Fonds;;;Fonds5
Investor41;Investment30909;Fonds;;;Fonds4
Investor58;Investment35846;Fonds;;;Fonds9
Investor33;Investment31918;Fonds;;;Fonds16
Investor37;Investment45910;Fonds;;;Fonds18
Investor69;Investment39611;Fonds;;;Fonds17
Investor29;Investment33859;Fonds;;;Fonds14
Investor13;Investment32759;Fonds;;;Fonds12
Investor51;Investment48515;Fonds;;;Fonds5
Investor55;Investment40081;Fonds;;;Fonds17
Investor37;Investment36279;Fonds;;;Fonds4
Investor55;Investment32086;Fonds;;;Fonds16
Investor24;Investment31218;Fonds;;;Fonds5
Investor64;Investment33600;Fonds;;;Fonds12
Investor36;Investment36232;Fonds;;;Fonds13
Investor27;Investment36665;Fonds;;;Fonds1
Investor67;Investment32182;Fonds;;;Fonds18
Investor22;Investment37576;Fonds;;;Fonds3
Investor12;Investment43290;Fonds;;;Fonds10
Investor70;Investment42386;Fonds;;;Fonds17
Investor20;Investment42475;Fonds;;;Fonds6
Investor60;Investment35140;Fonds;;;Fonds18
Investor60;Investment36378;Fonds;;;Fonds16
Investor90;Investment36564;Fonds;;;Fonds18
Investor11;Investment36678;Fonds;;;Fonds6
Investor67;Investment47911;Fonds;;;Fonds7
Investor19;Investment40006;Fonds;;;Fonds7
Investor33;Investment38664;Fonds;;;Fonds14
Investor3;Investment33439;Fonds;;;Fonds1
Investor67;Investment36161;Fonds;;;Fonds7
Investor80;Investment41411;Fonds;;;Fonds5
Investor2;Investment32161;Fonds;;;Fonds13
Investor6;Investment33749;Fonds;;;Fonds17
Investor98;Investment40491;Fonds;;;Fonds14
Investor67;Investment38341;Fonds;;;Fonds0
Investor40;Investment31970;Fonds;;;Fonds0
Investor18;Investment41253;Fonds;;;Fonds15
Investor46;Investment36474;Fonds;;;Fonds1
Investor28;Investment35594;Fonds;;;Fonds1
Investor29;Investment39227;Fonds;;;Fonds0
Investor13;Investment40725;Fonds;;;Fonds14
Investor77;Investment39615;Fonds;;;Fonds13
Investor78;Investment42199;Fonds;;;Fonds3
Investor12;Investment40986;Fonds;;;Fonds3
Investor72;Investment37153;Fonds;;;Fonds9
Investor63;Investment49213;Fonds;;;Fonds0
Investor46;Investment38150;Fonds;;;Fonds15
Investor78;Investment39372;Fonds;;;Fonds11
Investor67;Investment44057;Fonds;;;Fonds9
Investor51;Investment36363;Fonds;;;Fonds0
Investor71;Investment31116;Fonds;;;Fonds2
Investor93;Investment33367;Fonds;;;Fonds7
Investor17;Investment32119;Fonds;;;Fonds2
Investor96;Investment42143;Fonds;;;Fonds14
Investor48;Investment45484;Fonds;;;Fonds13
Investor44;Investment35061;Fonds;;;Fonds10
Investor79;Investment38517;Fonds;;;Fonds2
Investor67;Investment35579;Fonds;;;Fonds14
Investor21;Investment38215;Fonds;;;Fonds0
Investor68;Investment37081;Fonds;;;Fonds12
Investor49;Investment33640;Fonds;;;Fonds6
Investor95;Investment42016;Fonds;;;Fonds16
Investor10;Investment31853;Fonds;;;Fonds9
Investor82;Investment31368;Fonds;;;Fonds6
Investor73;Investment35788;Fonds;;;Fonds11
Investor35;Investment36674;Fonds;;;Fonds3
Investor49;Investment32081;Fonds;;;Fonds11
Investor24;Investment34526;Fonds;;;Fonds9
Investor95;Investment38219;Fonds;;;Fonds12
Investor94;Investment38339;Fonds;;;Fonds14
Investor8;Investment44171;Fonds;;;Fonds6
Investor20;Investment33119;Fonds;;;Fonds14
Investor93;Investment38180;Fonds;;;Fonds16
Investor82;Investment47678;Fonds;;;Fonds9
Investor57;Investment34052;Fonds;;;Fonds5
Investor41;Investment32686;Fonds;;;Fonds8
Investor80;Investment34538;Fonds;;;Fonds6
Investor48;Investment45454;Fonds;;;Fonds13
Investor18;Investment48768;Fonds;;;Fonds14
Investor47;Investment43850;Fonds;;;Fonds7
Investor21;Investment41884;Fonds;;;Fonds16
Investor40;Investment34212;Fonds;;;Fonds13
Investor64;Investment46492;Fonds;;;Fonds13
Investor50;Investment40296;Fonds;;;Fonds17
Investor95;Investment33046;Fonds;;;Fonds14
Investor85;Investment38383;Fonds;;;Fonds11
Investor84;Investment40526;Fonds;;;Fonds15
Investor8;Investment37684;Fonds;;;Fonds14
Investor50;Investment47172;Fonds;;;Fonds1
Investor23;Investment40196;Fonds;;;Fonds12
Investor59;Investment33675;Fonds;;;Fonds7
Investor50;Investment32230;Fonds;;;Fonds15
Investor25;Investment42971;Fonds;;;Fonds13
Investor58;Investment45389;Fonds;;;Fonds10
Investor78;Investment45112;Fonds;;;Fonds17
Investor16;Investment44323;Fonds;;;Fonds11
Investor67;Investment38553;Fonds;;;Fonds13
Investor95;Investment32587;Fonds;;;Fonds1
Investor37;Investment46775;Fonds;;;Fonds5
Investor36;Investment36768;Fonds;;;Fonds8
Investor14;Investment35062;Fonds;;;Fonds12
Investor21;Investment45899;Fonds;;;Fonds16
Investor81;Investment46652;Fonds;;;Fonds15
Investor71;Investment38750;Fonds;;;Fonds18
Investor42;Investment38586;Fonds;;;Fonds6
Investor50;Investment38672;Fonds;;;Fonds17
Investor0;Investment47390;Fonds;;;Fonds17
Investor33;Investment41633;Fonds;;;Fonds3
Investor39;Investment39094;Fonds;;;Fonds10
Investor6;Investment36313;Fonds;;;Fonds14
Investor62;Investment33541;Fonds;;;Fonds0
Investor31;Investment38033;Fonds;;;Fonds15
Investor49;Investment46511;Fonds;;;Fonds15
Investor73;Investment31148;Fonds;;;Fonds13
Investor47;Investment43524;Fonds;;;Fonds6
Investor9;Investment42850;Fonds;;;Fonds5
Investor30;Investment30221;Fonds;;;Fonds13
Investor58;Investment44053;Fonds;;;Fonds11
Investor85;Investment38793;Fonds;;;Fonds15
Investor86;Investment43929;Fonds;;;Fonds2
Investor50;Investment40242;Fonds;;;Fonds14
Investor40;Investment36305;Fonds;;;Fonds2
Investor73;Investment32617;Fonds;;;Fonds5
Investor72;Investment36421;Fonds;;;Fonds2
Investor34;Investment47303;Fonds;;;Fonds8
Investor56;Investment30036;Fonds;;;Fonds2
Investor94;Investment31879;Fonds;;;Fonds5
Investor34;Investment49696;Fonds;;;Fonds14
Investor3;Investment46317;Fonds;;;Fonds10
Investor40;Investment48508;Fonds;;;Fonds11
Investor73;Investment36842;Fonds;;;Fonds0
Investor83;Investment42335;Fonds;;;Fonds4
Investor10;Investment38277;Fonds;;;Fonds13
Investor80;Investment44406;Fonds;;;Fonds1
Investor32;Investment49415;Fonds;;;Fonds12
Investor0;Investment40062;Fonds;;;Fonds10
Investor57;Investment40547;Fonds;;;Fonds15
Investor91;Investment41588;Fonds;;;Fonds13
Investor8;Investment46874;Fonds;;;Fonds7
Investor44;Investment30686;Fonds;;;Fonds4
Investor85;Investment30160;Fonds;;;Fonds16
Investor50;Investment36785;Fonds;;;Fonds15
Investor68;Investment34062;Fonds;;;Fonds17
Investor43;Investment39797;Fonds;;;Fonds12
Investor59;Investment38526;Fonds;;;Fonds3
Investor28;Investment32788;Fonds;;;Fonds8
Investor1;Investment47549;Fonds;;;Fonds14
Investor50;Investment36715;Fonds;;;Fonds1
Investor11;Investment42709;Fonds;;;Fonds13
Investor69;Investment40985;Fonds;;;Fonds4
Investor85;Investment33968;Fonds;;;Fonds6
Investor9;Investment36959;Fonds;;;Fonds16
Investor9;Investment33497;Fonds;;;Fonds9
Investor49;Investment45182;Fonds;;;Fonds2
Investor84;Investment35375;Fonds;;;Fonds8
Investor72;Investment39885;Fonds;;;Fonds12
Investor46;Investment44757;Fonds;;;Fonds2
Investor8;Investment33900;Fonds;;;Fonds2
Investor36;Investment45060;Fonds;;;Fonds5
Investor84;Investment44330;Fonds;;;Fonds1
Investor55;Investment36854;Fonds;;;Fonds6
Investor65;Investment30564;Fonds;;;Fonds0
Investor30;Investment41438;Fonds;;;Fonds10
Investor97;Investment41354;Fonds;;;Fonds0
Investor32;Investment39858;Fonds;;;Fonds18
Investor78;Investment46658;Fonds;;;Fonds10
Investor20;Investment47046;Fonds;;;Fonds16
Investor67;Investment32176;Fonds;;;Fonds17
Investor40;Investment48529;Fonds;;;Fonds12
Investor47;Investment42193;Fonds;;;Fonds1
Investor50;Investment31580;Fonds;;;Fonds10
Investor37;Investment33889;Fonds;;;Fonds9
Investor49;Investment43029;Fonds;;;Fonds3
Investor41;Investment46312;Fonds;;;Fonds11
Investor1;Investment33546;Fonds;;;Fonds0
Investor0;Investment42494;Fonds;;;Fonds6
Investor71;Investment48846;Fonds;;;Fonds17
Investor30;Investment36926;Fonds;;;Fonds1
Investor13;Investment30908;Fonds;;;Fonds13
Investor6;Investment36314;Fonds;;;Fonds14
Investor55;Investment37792;Fonds;;;Fonds17
Investor44;Investment33060;Fonds;;;Fonds17
Investor22;Investment37291;Fonds;;;Fonds5
Investor32;Investment45647;Fonds;;;Fonds6
Investor54;Investment33906;Fonds;;;Fonds12
Investor63;Investment34477;Fonds;;;Fonds11
Investor73;Investment44599;Fonds;;;Fonds16
Investor59;Investment47417;Fonds;;;Fonds8
Investor94;Investment43727;Fonds;;;Fonds14
Investor59;Investment44561;Fonds;;;Fonds2
Investor52;Investment37838;Fonds;;;Fonds14
Investor49;Investment48293;Fonds;;;Fonds6
Investor54;Investment38198;Fonds;;;Fonds8
Investor22;Investment32720;Fonds;;;Fonds12
Investor88;Investment47842;Fonds;;;Fonds18
Investor19;Investment43319;Fonds;;;Fonds16
Investor19;Investment44021;Fonds;;;Fonds1
Investor69;Investment41090;Fonds;;;Fonds14
Investor10;Investment38435;Fonds;;;Fonds10
Investor79;Investment44793;Fonds;;;Fonds1
Investor7;Investment40144;Fonds;;;Fonds17
Investor32;Investment36799;Fonds;;;Fonds18
Investor9;Investment36423;Fonds;;;Fonds4
Investor63;Investment44801;Fonds;;;Fonds5
Investor18;Investment48648;Fonds;;;Fonds18
Investor47;Investment39343;Fonds;;;Fonds16
Investor58;Investment33487;Fonds;;;Fonds8
Investor67;Investment47382;Fonds;;;Fonds7
Investor48;Investment41549;Fonds;;;Fonds12
Investor84;Investment30213;Fonds;;;Fonds13
Investor1;Investment35534;Fonds;;;Fonds6
Investor15;Investment44605;Fonds;;;Fonds10
Investor94;Investment39465;Fonds;;;Fonds16
Investor30;Investment43345;Fonds;;;Fonds7
Investor29;Investment30751;Fonds;;;Fonds0
Investor10;Investment39953;Fonds;;;Fonds18
Investor43;Investment44272;Fonds;;;Fonds15
Investor96;Investment47306;Fonds;;;Fonds15
Investor43;Investment30220;Fonds;;;Fonds6
Investor68;Investment32599;Fonds;;;Fonds17
Investor4;Investment37346;Fonds;;;Fonds12
Investor60;Investment34713;Fonds;;;Fonds12
Investor72;Investment43615;Fonds;;;Fonds0
Investor80;Investment36229;Fonds;;;Fonds7
Investor93;Investment36702;Fonds;;;Fonds1
Investor1;Investment48278;Fonds;;;Fonds3
Investor81;Investment39739;Fonds;;;Fonds6
Investor27;Investment32592;Fonds;;;Fonds4
Investor51;Investment30999;Fonds;;;Fonds18
Investor81;Investment31451;Fonds;;;Fonds0
Investor79;Investment39870;Fonds;;;Fonds4
Investor1;Investment41968;Fonds;;;Fonds12
Investor20;Investment35233;Fonds;;;Fonds18
Investor32;Investment48783;Fonds;;;Fonds8
Investor97;Investment37029;Fonds;;;Fonds9
Investor22;Investment45963;Fonds;;;Fonds4
Investor34;Investment38257;Fonds;;;Fonds13
